sl_id,sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_latitude,sl_longitude,sl_tags,sl_description,sl_email,sl_url,sl_hours,sl_phone,sl_fax,sl_image,sl_private,sl_neat_title,sl_linked_postid,sl_pages_url,sl_option_value,sl_lastupdated
,Air and Plumbing Systems Inc.,285 Sobrante Way,,Sunnyvale,CA,94085,USA,37.3840903,-122.0342895,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://www.airandplumbing.com,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,18002824912,http://locate.myhvacshop.com/wp-content/uploads/sites/11/2015/01/Screen-Shot-2015-01-28-at-3.10.13-AM.png,,,0,http://www.airandplumbing.com,,1/28/2015 4:33:09
,Convectek Inc,3333 Bowers Ave.,,Santa Clara,CA,,USA,37.380495,-121.977935,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://convectek.thehvac.net/heating-and-furnace-repair-in-san-jose-and-surrounding-areas,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://locate.myhvacshop.com/wp-content/uploads/sites/11/2015/01/Screen-Shot-2015-01-28-at-3.10.13-AM.png,,,0,http://convectek.thehvac.net/heating-and-furnace-repair-in-san-jose-and-surrounding-areas,,1/29/2015 4:33:09
,My HVAC Shop HQ,285 Sobrante Way,,Sunnyvale,CA,,USA,37.3840953,-122.034256,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://www.airandplumbing.com,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://locate.myhvacshop.com/wp-content/uploads/sites/11/2015/01/Screen-Shot-2015-01-28-at-3.10.13-AM.png,,,0,http://www.airandplumbing.com,,1/30/2015 4:33:09
,Global HVAC Distributors,900 Spreckles Ave.,,Manteca,CA,,USA,37.785927,-121.200851,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://www.globalhvac.net,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://locate.myhvacshop.com/wp-content/uploads/sites/11/2015/01/Screen-Shot-2015-01-28-at-3.10.13-AM.png,,,0,http://www.globalhvac.net,,1/31/2015 4:33:09
,AandB Heating and Air Conditioning,15321 Purdy Street,,Westminster,CA,,USA,33.740165,-117.978251,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aandbheating.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aandbheating.myhvacshop.com/services/,,2/1/2015 4:33:09
,"A and B Mechanical, Inc.",26062 Eden Landing Road,,Hayward,CA,,USA,37.6268617,-122.1204487,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aandbmechanical.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aandbmechanical.myhvacshop.com/services/,,2/2/2015 4:33:09
,AandG HVAC A Partnership,816 Fallen Leaf Lane,,Modesto,CA,,USA,37.617524,-120.982176,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aandghvac.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aandghvac.myhvacshop.com/services/,,2/3/2015 4:33:09
,A and M Htg Air Cond,27135 Garza Drive,,Santa Clarita,CA,,USA,34.435912,-118.525047,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aandmhtg.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aandmhtg.myhvacshop.com/services/,,2/4/2015 4:33:09
,"AC Depot, Inc.",7349 Topanga Canyon Blvd,,Canoga Park,CA,,USA,34.204263,-118.606263,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acdepotinc.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acdepotinc.myhvacshop.com/services/,,2/5/2015 4:33:09
,A 1 Ocean Breeze Inc.,26845 Oak Avenue Unit 16,,Canyon Country,CA,,USA,34.424732,-118.501046,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://www.thehvac.net/member/a-1-ocean-breeze-inc/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://www.thehvac.net/member/a-1-ocean-breeze-inc/,,2/6/2015 4:33:09
,A A A Equipment Repair,5816 Roseville Rd #8,,Sacramento,CA,,USA,38.6717571,-121.3682867,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aaaequ.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aaaequ.myhvacshop.com/services/,,2/7/2015 4:33:09
,AAA Heating and Air Cond.,8830 Balboa Blvd.,,Northridge,CA,,USA,34.231134,-118.501897,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aaaheat.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aaaheat.myhvacshop.com/services/,,2/8/2015 4:33:09
,AA Marthedal Co. Inc,1441 N. Thesta St,,Fresno,CA,,USA,36.762119,-119.784122,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aamart.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aamart.myhvacshop.com/services/,,2/9/2015 4:33:09
,All Air Mechanical,5310 C Scotts Valley Dr,,Scotts Valley,CA,,USA,37.057505,-122.009966,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aamech.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aamech.myhvacshop.com/services/,,2/10/2015 4:33:09
,A and I HVAC,2947 Glen Como Way,,San Jose,CA,,USA,37.333595,-121.800274,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aandihvac.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aandihvac.myhvacshop.com/services/,,2/11/2015 4:33:09
,A and A Plumbing,1030 E. El Camino Real Ste# 248,,Sunnyvale,CA,,USA,37.3520159,-122.0058944,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aaplumbing.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aaplumbing.myhvacshop.com/services/,,2/12/2015 4:33:09
,Aaron's Heating and Air,1220 E. F Street,,Oakdale,CA,,USA,37.770523,-120.837508,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aarondixon.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aarondixon.myhvacshop.com/services/,,2/13/2015 4:33:09
,Aaron's Heating and Air,811 River Avenue,,Oakdale,CA,,USA,37.774429,-120.854869,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aaronhe.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aaronhe.myhvacshop.com/services/,,2/14/2015 4:33:09
,Aaron Heating and A/C,113 West First Avenue,,La Habra,CA,,USA,33.9310321,-117.9466736,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aaronheating.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aaronheating.myhvacshop.com/services/,,2/15/2015 4:33:09
,Aaron's Air,2673 Sirius St,,Thousand Oaks,CA,,USA,34.216076,-118.875725,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aarons.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aarons.myhvacshop.com/services/,,2/16/2015 4:33:09
,ABC Air Conditioning and Heating,8553 Cayuga Avenue,,Sun Valley,CA,,USA,34.225198,-118.386915,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://abcair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://abcair.myhvacshop.com/services/,,2/17/2015 4:33:09
,ABC Cooling and Heating,31845 Hayman Street,,Hayward,CA,,USA,37.6076765,-122.0456007,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://abccoo.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://abccoo.myhvacshop.com/services/,,2/18/2015 4:33:09
,ABC Heating and A/C,2282 Orchard Drive,,Newport Beach,CA,,USA,33.6563019,-117.874486,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://abcheat.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://abcheat.myhvacshop.com/services/,,2/19/2015 4:33:09
,ABCO Heat AC and SheetMetal,37429 Centralmont Place,,Fremont,CA,,USA,37.5422776,-122.0173924,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://abcoac.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://abcoac.myhvacshop.com/services/,,2/20/2015 4:33:09
,ABC,5055 Katrina Place,,Palmdale,CA,,USA,34.565105,-118.038842,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://abcpalmdale.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://abcpalmdale.myhvacshop.com/services/,,2/21/2015 4:33:09
,ABC Plumbing Heating and Air Cond,205 22nd St,,Sacramento,CA,,USA,38.5842351,-121.4735807,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://abcplu.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://abcplu.myhvacshop.com/services/,,2/22/2015 4:33:09
,AB/JDD Plumbing and Htg,390 S White Rd,,San Jose,CA,,USA,37.362691,-121.824574,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://abjdd.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://abjdd.myhvacshop.com/services/,,2/23/2015 4:33:09
